timestamp,vehicle_model,speed_kmh,location_x,location_y,location_z,throttle,brake,steering,gear,tampered,tampering_type
2025-01-13 19:05:04,vehicle.tesla.model3,20.11,-78.99,16.46,0.0,0.0,0.02,0.0,1,False,none
2025-01-13 19:05:05,vehicle.tesla.model3,7.93,-83.22,16.45,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:05:06,vehicle.tesla.model3,0.0,-83.65,16.45,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:05:07,vehicle.tesla.model3,0.0,-83.65,16.45,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:05:08,vehicle.tesla.model3,0.0,-83.65,16.45,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:05:09,vehicle.tesla.model3,0.0,-83.65,16.45,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:05:10,vehicle.tesla.model3,11.43,-84.53,16.45,0.0,0.85,0.0,0.0,1,False,none
2025-01-13 19:05:11,vehicle.tesla.model3,15.36,-88.92,16.44,0.0,0.0,0.28,0.0,1,False,none
2025-01-13 19:05:12,vehicle.tesla.model3,30.08,-94.83,16.57,0.0,0.48,0.0,-0.01,1,False,none
2025-01-13 19:05:13,vehicle.tesla.model3,28.44,-102.96,18.01,0.0,0.53,0.0,-0.15,1,False,none
2025-01-13 19:05:14,vehicle.tesla.model3,29.32,-109.5,22.74,0.0,0.23,0.0,-0.15,1,False,none
2025-01-13 19:05:15,vehicle.tesla.model3,29.13,-113.28,29.88,0.0,0.4,0.0,-0.15,1,False,none
2025-01-13 19:05:16,vehicle.tesla.model3,29.17,-114.05,37.96,0.0,0.33,0.0,-0.01,1,False,none
2025-01-13 19:05:17,vehicle.tesla.model3,29.14,-114.23,46.19,0.0,0.36,0.0,-0.01,1,False,none
2025-01-13 19:05:18,vehicle.tesla.model3,27.25,-114.34,54.34,0.0,0.0,0.7,-0.0,1,False,none
2025-01-13 19:05:19,vehicle.tesla.model3,11.34,-114.41,59.66,0.0,0.2,0.0,0.0,1,False,none
2025-01-13 19:05:20,vehicle.tesla.model3,11.65,-114.45,63.03,0.0,0.0,0.3,0.0,1,False,none
2025-01-13 19:05:21,vehicle.tesla.model3,0.0,-114.46,64.45,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:05:22,vehicle.tesla.model3,0.0,-114.46,64.45,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:05:23,vehicle.tesla.model3,0.0,-114.46,64.45,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:05:24,vehicle.tesla.model3,0.0,-114.46,64.45,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:05:25,vehicle.tesla.model3,0.0,-114.46,64.45,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:05:26,vehicle.tesla.model3,0.0,-114.46,64.45,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:05:27,vehicle.tesla.model3,0.0,-114.46,64.45,0.0,0.0,1.0,0.0,1,False,none
