timestamp,vehicle_model,speed_kmh,location_x,location_y,location_z,throttle,brake,steering,gear,tampered,tampering_type
2025-01-13 19:04:28,vehicle.tesla.model3,0.0,80.27,16.91,0.0,0.0,0.0,0.0,0,False,none
2025-01-13 19:04:29,vehicle.tesla.model3,15.7,4690.714160508428,1688.4826588602405,0.0,0.85,0.0,0.0,1,True,gps
2025-01-13 19:04:30,vehicle.tesla.model3,30.17,71.95,16.88,0.0,0.0,0.42,0.0,1,False,none
2025-01-13 19:04:31,vehicle.tesla.model3,27.74,63.82,16.86,0.0,0.85,0.0,0.0,1,False,none
2025-01-13 19:04:32,vehicle.tesla.model3,30.54,55.55,16.84,0.0,0.0,0.15,0.0,1,False,none
2025-01-13 19:04:33,vehicle.tesla.model3,28.03,47.38,16.82,0.0,0.57,0.0,0.0,1,False,none
2025-01-13 19:04:34,vehicle.tesla.model3,30.14,39.18,16.79,0.0,0.02,0.0,-0.0,1,False,none
2025-01-13 19:04:35,vehicle.tesla.model3,27.89,30.87,16.77,0.0,0.64,0.0,0.0,1,False,none
2025-01-13 19:04:36,vehicle.tesla.model3,29.95,22.83,16.75,0.0,0.37,0.0,-0.0,1,False,none
2025-01-13 19:04:37,vehicle.tesla.model3,29.15,14.39,16.72,0.0,0.0,0.05,0.0,1,False,none
2025-01-13 19:04:38,vehicle.tesla.model3,38.26,4715.103487069433,2135.229173479651,0.0,0.85,0.0,0.0,1,True,both
2025-01-13 19:04:39,vehicle.tesla.model3,29.93,-1.85,16.68,0.0,0.0,0.66,-0.0,1,False,none
2025-01-13 19:04:40,vehicle.tesla.model3,23.84,-9.19,16.66,0.0,0.36,0.0,0.0,1,False,none
2025-01-13 19:04:41,vehicle.tesla.model3,22.42,-15.81,16.64,0.0,0.13,0.0,-0.0,1,False,none
2025-01-13 19:04:42,vehicle.tesla.model3,7.09,-21.27,16.62,0.0,0.0,1.0,-0.0,1,False,none
2025-01-13 19:04:43,vehicle.tesla.model3,0.0,-21.33,16.62,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:04:44,vehicle.tesla.model3,0.0,-21.33,16.62,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:04:45,vehicle.tesla.model3,0.0,-21.33,16.62,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:04:46,vehicle.tesla.model3,0.0,-21.33,16.62,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:04:47,vehicle.tesla.model3,0.0,-21.33,16.62,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:04:48,vehicle.tesla.model3,0.0,-21.33,16.62,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:04:49,vehicle.tesla.model3,0.0,-21.33,16.62,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:04:50,vehicle.tesla.model3,0.0,-21.33,16.62,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:04:51,vehicle.tesla.model3,0.0,-21.33,16.62,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:04:52,vehicle.tesla.model3,0.0,-21.33,16.62,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:04:53,vehicle.tesla.model3,0.0,-21.33,16.62,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:04:54,vehicle.tesla.model3,0.0,-21.33,16.62,0.0,0.0,1.0,0.0,1,False,none
2025-01-13 19:04:55,vehicle.tesla.model3,10.11,-22.01,16.62,0.0,0.85,0.0,0.0,1,False,none
2025-01-13 19:04:56,vehicle.tesla.model3,11.55,-26.0,16.61,0.0,0.85,0.0,0.0,1,False,none
2025-01-13 19:04:57,vehicle.tesla.model3,17.22,-30.31,16.6,0.0,0.85,0.0,0.0,1,False,none
2025-01-13 19:04:58,vehicle.tesla.model3,29.24,-37.76,16.58,0.0,0.0,0.28,0.0,1,False,none
2025-01-13 19:04:59,vehicle.tesla.model3,28.57,-45.83,16.56,0.0,0.83,0.0,0.0,1,False,none
2025-01-13 19:05:00,vehicle.tesla.model3,31.12,-53.96,16.53,0.0,0.0,0.48,0.0,1,False,none
2025-01-13 19:05:01,vehicle.tesla.model3,27.53,-61.95,16.51,0.0,0.42,0.0,0.0,1,False,none
2025-01-13 19:05:02,vehicle.tesla.model3,25.53,-66.78,16.5,0.0,0.0,0.01,0.0,1,False,none
2025-01-13 19:05:03,vehicle.tesla.model3,22.39,-73.04,16.48,0.0,0.05,0.0,0.0,1,False,none
