model,PR AUC,AUROC,macro F1,MCC,recall,FPR,params,size_kib,latency_p50_us,latency_p99_us,prevalence,n_windows,n_pos
GRU-AE,0.8211808985256134,0.9574343780064641,0.8707689900100889,0.7427008001766153,0.7199367088607594,0.012275832621690862,9036,35.296875,59.18752867728472,74.58909065462645,0.0632,10000,632
VAE,0.8256415613321402,0.9589825381854739,0.8896380232990763,0.799050742633867,0.6550632911392406,0.0001067463706233988,40992,160.125,117.95852333307266,135.80395199824125,0.0632,10000,632
FSMN-AE,0.9076403416342769,0.9753892188868108,0.9078656600548287,0.8157387329142757,0.8306962025316456,0.011955593509820665,7596,29.671875,70.02049824222922,141.83770748786628,0.0632,10000,632
TET,0.9000383947294806,0.981097869531613,0.9076705367449807,0.8157264440969302,0.8037974683544303,0.009500426985482494,68536,267.71875,169.02052448131144,251.2821299023926,0.0632,10000,632
