head,PR AUC,macro F1,AUROC,recall,FPR,threshold,latency p50 (µs),latency p99 (µs)
Reconstruction,0.5858212548966908,0.36297694261545294,0.4607902195476789,0.00013225763787858748,0.0,34.095977783203125,192.70852661132812,258.14678955078125
Latent distance,0.9987105005408168,0.56725038373923,0.9989783229731516,0.22100251289511968,0.0,0.0014587022502731333,778.35400390625,2387.15966796875
Latent clustering,0.9796477352817082,0.9478797586316815,0.9850387647136623,0.9378389101970639,0.0427,,2203.0419921875,2496.634521484375
