attack,n_windows,Reconstruction,Latent distance,Latent clustering
dos,1494,0.34114413024936985,0.9746647908955645,0.8865514568373263
fuzzy,1688,0.9999481234789291,0.9997846100472763,0.9992522054595704
rpm,2242,0.1366056467768142,0.9982913950244459,0.9355688877928134
gear,2137,0.10576229211932817,0.9984480717516832,0.8621752215029846
