attack,n_windows,PR AUC,score_mean
dos,1494,0.6182527745427637,1.0716513395309448
fuzzy,1688,0.9999510611992581,6.746850490570068
rpm,2242,0.1435766551476527,0.8601218461990356
gear,2137,0.1071655104345749,0.6178972125053406
