Method,σ / noise_mult,clip_norm,ε,ε (final epoch),PR-AUC,PR-AUC_lo,PR-AUC_hi,prevalence,AUROC,AUROC_lo,AUROC_hi,F1,FPR@95TPR,MSE(normal),recall_fuzzy,recall_plateau,AUROC_fuzzy,AUROC_plateau,MI-AUC,MI-AUC_lo,MI-AUC_hi,MI-AUC_eff,MI-AUC_eff_lo,MI-AUC_eff_hi
Output,0.00017593850992600728,,51021017730.710884,,0.6121427416651207,0.5016757588790581,0.6830229280490361,0.049994521148367305,0.9039575112963631,0.8487345043327436,0.9182705458703053,0.3659980897803247,0.554629602929727,0.013036283664405346,1.0,0.5676880222841225,0.999305995402268,0.8054218912314862,0.7034073273491085,0.5283686171823994,0.7626339163649014,0.7034073273491085,0.5355300023288767,0.7626339163649014
Output,0.00030954359274983735,,16483099715.017746,,0.6121189373591499,0.5015027159178557,0.6831119225893891,0.049994521148367305,0.9038909003790931,0.8486598905833447,0.9182067715267671,0.3657993511037598,0.5592433461172468,0.013053507544100285,1.0,0.5682451253481894,0.9993059332224408,0.8052865071064417,0.700392239762039,0.5287318149923772,0.7589471989282893,0.700392239762039,0.5348948761693441,0.7589471989282893
Output,0.0005446063846554921,,5325218757.519348,,0.6120321313434328,0.5012716459358919,0.6830668858085129,0.049994521148367305,0.9036578214204878,0.8484496576015881,0.9179078060075002,0.3657884688812524,0.5584503590068918,0.01311503816395998,1.0,0.5676880222841225,0.9993062052591853,0.8048122771192154,0.6965642584614726,0.5280177483579778,0.7553361023524915,0.6965642584614726,0.5294141175508037,0.7553361023524915
Output,0.0009581723581247715,,1720487409.5282338,,0.6115134370141599,0.5003222547627639,0.682706468893257,0.049994521148367305,0.9023778829475972,0.8477910106215125,0.9163847746815823,0.3650571791613723,0.55380777992445,0.01330526452511549,1.0,0.5671309192200558,0.9993014251849598,0.802214556568596,0.6940089850297234,0.5224403765612682,0.753713311532829,0.6940089850297234,0.5268620209098634,0.753713311532829
Output,0.0016857941694076093,,555895005.6848197,,0.6100345919917375,0.49789703264610097,0.6812071210529161,0.049994521148367305,0.8994516676825065,0.8464860108731068,0.9132281303337347,0.36044038533717004,0.5568067129963379,0.013901466503739357,1.0,0.5715877437325906,0.9992872948192001,0.7962789165189598,0.6875646524318448,0.5009287990597049,0.7521248480651517,0.6875646524318448,0.5170084109682287,0.7521248480651517
Output,0.0029659611420752587,,179631267.40949467,,0.6055802048973631,0.4923310150961787,0.6758027303414669,0.049994521148367305,0.8936286063137969,0.843531604057557,0.9070985399879274,0.40764331210191085,0.6245133942731913,0.01578030362725258,1.0,0.37493036211699166,0.9992480282582443,0.7844787301539363,0.6554659890742909,0.4526974990997933,0.7292540509845491,0.6554659890742909,0.512483220416391,0.7292540509845491
Output,0.0052182678383515925,,58057095.12709182,,0.5925257176664734,0.47886239872268443,0.6584300052413166,0.049994521148367305,0.8809175739769083,0.8333564988246183,0.894187222754433,0.39774647887323944,0.6771965742956833,0.021649478003382683,1.0,0.34317548746518106,0.9991409701405474,0.7587424208384401,0.5957693301708733,0.4197674138191716,0.680776414486688,0.5957693301708733,0.5082532039818978,0.680776414486688
Output,0.009180942678743854,,18770535.94237169,,0.5562631208807675,0.44210107713822416,0.6168238644564212,0.049994521148367305,0.8446839566165936,0.8065654570381662,0.8555854161880807,0.5585795371852714,0.7151446120130338,0.04029420018196106,1.0,0.03565459610027855,0.998749882344108,0.6854681949316136,0.49261251052972443,0.3904454401714671,0.584094732561523,0.5073874894702756,0.5017103075759679,0.6145795133416541
Output,0.016152813746142795,,6072366.537092434,,0.47317078180456074,0.31748073929087395,0.5810957042328688,0.049994521148367305,0.7912235386225211,0.7668086131337751,0.7976876798370941,0.6114815417140999,0.7507569422417024,0.1006026566028595,0.9989218328840971,0.015041782729805013,0.9968417000306781,0.5787323467494677,0.4238307196945528,0.35506460366235126,0.5259797256269095,0.5761692803054472,0.5079882635146019,0.6449353963376487
Output,0.02841901981608691,,1966505.6302874172,,0.2507010683451022,0.14747829926292724,0.3889746810127432,0.049994521148367305,0.7561575636749887,0.7246429335979895,0.7656317502635158,0.4005332239540607,0.7953949075809568,0.28382614254951477,0.9892183288409704,0.06573816155988858,0.9794288067792178,0.5254232149516765,0.38567149633655606,0.3227880167946034,0.4914887699218216,0.6143285036634439,0.5159130565876284,0.6772119832053966
