method,sigma,seed,pr_auc,eff_mi
Output,0.0499999999999999,2,0.1613162090559791,0.6043967706092328
Output,0.0499999999999999,3,0.16787556570901468,0.6579444195977456
Output,0.0499999999999999,4,0.16251674693418414,0.6409008063529211
Output (last-layer),0.0001,42,0.6121172359685542,0.7048459428906543
Output (last-layer),0.0001,1,0.6121155136301653,0.7047051250208135
Output (last-layer),0.0001,2,0.6121151867763746,0.7051182530031423
Output (last-layer),0.0001,3,0.6121045421607539,0.7046557975226213
Output (last-layer),0.0001,4,0.6121178525094021,0.7046746047729754
Output (last-layer),0.000175938509926,42,0.6121213124051732,0.7051365407068241
Output (last-layer),0.000175938509926,1,0.612117660033217,0.7049288865843089
Output (last-layer),0.000175938509926,2,0.6121135619279453,0.7056153387865048
Output (last-layer),0.000175938509926,3,0.6121073301329787,0.704844296467121
Output (last-layer),0.000175938509926,4,0.6121219907748481,0.7048514839674835
Output (last-layer),0.0003095435927498,42,0.6121270299755945,0.7056295226407762
Output (last-layer),0.0003095435927498,1,0.6121221710458785,0.7053057664307075
Output (last-layer),0.0003095435927498,2,0.6121217555607386,0.706467759823059
Output (last-layer),0.0003095435927498,3,0.6121031624493722,0.7053327417415179
Output (last-layer),0.0003095435927498,4,0.6121317701555739,0.7051543997065224
Output (last-layer),0.0005446063846554,42,0.6121482877208141,0.706461779147013
Output (last-layer),0.0005446063846554,1,0.6121338406594921,0.7060233541505996
Output (last-layer),0.0005446063846554,2,0.6121420156772712,0.7077257778418109
Output (last-layer),0.0005446063846554,3,0.6120948808220305,0.7063588782323931
Output (last-layer),0.0005446063846554,4,0.6121626360486162,0.7057906195444932
Output (last-layer),0.0009581723581247,42,0.6121683624260498,0.7078503454056974
Output (last-layer),0.0009581723581247,1,0.6121584549043431,0.7068892166496056
Output (last-layer),0.0009581723581247,2,0.6121622937667694,0.7094820711111207
Output (last-layer),0.0009581723581247,3,0.6121015960467666,0.7087284238878866
Output (last-layer),0.0009581723581247,4,0.6121872984822978,0.7068490905740381
Output (last-layer),0.0016857941694076,42,0.6122240594814313,0.7093357752782795
Output (last-layer),0.0016857941694076,1,0.6121997759339513,0.7085611311845228
Output (last-layer),0.0016857941694076,2,0.6122085087903828,0.7115831307610593
Output (last-layer),0.0016857941694076,3,0.6121215906761444,0.7126800182306539
Output (last-layer),0.0016857941694076,4,0.6122428543878183,0.7089101372505286
Output (last-layer),0.0029659611420752,42,0.6123102791846788,0.7129578919193367
Output (last-layer),0.0029659611420752,1,0.6122897662299288,0.7142738446160837
Output (last-layer),0.0029659611420752,2,0.6122847301217146,0.7172726983600162
Output (last-layer),0.0029659611420752,3,0.6122069510645115,0.7189873046125466
Output (last-layer),0.0029659611420752,4,0.6123318807509655,0.7117950549916278
Output (last-layer),0.0052182678383515,42,0.6124055387703026,0.7216616072142632
Output (last-layer),0.0052182678383515,1,0.6124233109638589,0.7288559229869461
Output (last-layer),0.0052182678383515,2,0.6123489846467611,0.7278558996656499
Output (last-layer),0.0052182678383515,3,0.612335131539786,0.7356133647253099
Output (last-layer),0.0052182678383515,4,0.6124471460853194,0.7177110609842179
Output (last-layer),0.0091809426787438,42,0.6122689465706856,0.7397369550222767
Output (last-layer),0.0091809426787438,1,0.6124497061616873,0.7708610131907511
Output (last-layer),0.0091809426787438,2,0.6122456450678628,0.7530280671854201
Output (last-layer),0.0091809426787438,3,0.6125028086855638,0.7816203769339538
Output (last-layer),0.0091809426787438,4,0.6124361145497352,0.7323488710746976
Output (last-layer),0.0161528137461427,42,0.6118944355105675,0.7633987102211612
Output (last-layer),0.0161528137461427,1,0.6121499955868002,0.7741988606357051
Output (last-layer),0.0161528137461427,2,0.6116306048582874,0.771441622012803
Output (last-layer),0.0161528137461427,3,0.6114771654371267,0.7575000991774878
Output (last-layer),0.0161528137461427,4,0.6117318550441453,0.7688704989557574
Output (last-layer),0.0284190198160869,42,0.606291932001926,0.709803509826535
Output (last-layer),0.0284190198160869,1,0.6047757581246322,0.7134140422770684
Output (last-layer),0.0284190198160869,2,0.6062371988797932,0.723325617911765
Output (last-layer),0.0284190198160869,3,0.6003865126715108,0.6791357428085998
Output (last-layer),0.0284190198160869,4,0.6081506105418183,0.7837707555207648
Output (last-layer),0.0499999999999999,42,0.5933319417235895,0.6263526601229289
Output (last-layer),0.0499999999999999,1,0.5863945069853712,0.641175312416592
Output (last-layer),0.0499999999999999,2,0.590186736477793,0.6364020867485494
Output (last-layer),0.0499999999999999,3,0.5885392355108814,0.607668688805149
Output (last-layer),0.0499999999999999,4,0.5952675298238896,0.7073214788701622
