method,sigma,epsilon,auroc,f1,fpr_at_95tpr,mean_mse_normal,threshold,mi_auc,clip_norm,epsilon_final
Baseline,,inf,0.9623902252768232,0.8421052631578947,0.6426116838487973,0.8792429566383362,1.4212093353271484,0.5109793053038725,,
Input,0.01,183366.2078699898,0.9738449789996182,0.9411764705882353,0.4639175257731959,0.8642003536224365,1.6020615100860596,0.5260143040602618,,
Input,0.05,7872.463368371129,0.9738449789996182,0.9411764705882353,0.4639175257731959,0.8643761873245239,1.5986135005950928,0.5257681199145209,,
Input,0.1,2135.76446401421,0.9742268041237114,0.9411764705882353,0.4570446735395189,0.8652474880218506,1.6041686534881592,0.5262757160913064,,
Input,0.3,311.35913927759975,0.973463153875525,0.9411764705882353,0.46735395189003437,0.8652485013008118,1.6000698804855347,0.5254914799981727,,
Input,per-feature,7872.463368371129,0.9738449789996182,0.9411764705882353,0.4639175257731959,0.8643761873245239,1.5986135005950928,0.5257681199145209,,
Output,0.0001,760945089.0162799,0.9625811378388698,0.8421052631578947,0.6391752577319587,0.8792388439178467,1.4209915399551392,0.5109691533803367,,
Output,0.001,7629150.968687306,0.9625811378388698,0.8421052631578947,0.6391752577319587,0.8792193531990051,1.4190521240234375,0.5109437735714975,,
Output,0.005,308667.49437746126,0.9623902252768232,0.8,0.6391752577319587,0.8794878721237183,1.4102615118026733,0.5110224509788992,,
Output,0.01,78260.63361523207,0.9631538755250095,0.7906976744186046,0.6288659793814433,0.8806911706924438,1.4002501964569092,0.5110072230935956,,
Output (last-layer),0.0001,760945089.0162799,0.9623902252768232,0.8421052631578947,0.6426116838487973,0.8792486190795898,1.4211504459381104,0.5110021471318278,,
Output (last-layer),0.001,7629150.968687306,0.9625811378388698,0.8421052631578947,0.6391752577319587,0.8793045282363892,1.420623540878296,0.5110199129980154,,
Output (last-layer),0.005,308667.49437746126,0.9629629629629629,0.8205128205128205,0.6357388316151202,0.8796536326408386,1.4183557033538818,0.5109158557817742,,
Output (last-layer),0.01,78260.63361523207,0.963344788087056,0.85,0.6288659793814433,0.8803213834762573,1.4156906604766846,0.5107178932728279,,
DP-SGD (fixed-clip baseline),1.0,21.71688827078937,0.968881252386407,0.9142857142857143,0.5463917525773195,0.9878722429275513,1.7460300922393799,0.5060568913794942,0.5,21.71688827078937
DP-SGD (fixed-clip baseline),2.0,7.570376816440236,0.96983581519664,0.9142857142857143,0.5257731958762887,0.9862252473831177,1.7074394226074219,0.5098854355428996,0.5,7.570376816440236
DP-SGD (fixed-clip baseline),1.0,21.71688827078937,0.96983581519664,0.9142857142857143,0.5257731958762887,0.9816567301750183,1.7025115489959717,0.5100707081474263,1.0,21.71688827078937
DP-SGD (fixed-clip baseline),2.0,7.570376816440236,0.9700267277586866,0.9142857142857143,0.5257731958762887,0.9995639324188232,1.7533833980560303,0.5078220570842661,1.0,7.570376816440236
DP-SGD (fixed-clip baseline),1.0,21.71688827078937,0.9690721649484536,0.9142857142857143,0.5429553264604811,1.0088058710098267,1.7749725580215454,0.5073398407163198,5.0,21.71688827078937
DP-SGD (fixed-clip baseline),2.0,7.570376816440236,0.9675448644520809,0.9142857142857143,0.5738831615120275,1.0155377388000488,1.7830709218978882,0.5074692777414,5.0,7.570376816440236
