model,PR AUC,AUROC,macro F1,MCC,recall,FPR,params,size_kib,latency_p50_us,latency_p99_us,prevalence
MVP (GRU-AE),0.7981796402489507,0.8579001333333334,0.7988006948353306,0.6008577746237834,0.75,0.1202,8136,31.78125,56.12499080598354,68.7524996465072,0.23076923076923078
VAE,0.5926064236322459,0.73465865,0.7177484406468846,0.5110526649227649,0.37766666666666665,0.0154,39708,155.109375,104.20849866932258,135.81741732195948,0.23076923076923078
FSMN-AE,0.7548043928455076,0.8070261166666667,0.8251676528599605,0.681973899427701,0.5816666666666667,0.013,7080,27.65625,67.95799708925188,142.82658681622704,0.23076923076923078
TET,0.7728652420823647,0.8628326333333334,0.79296129518555,0.6082574644362123,0.555,0.0338,68080,265.9375,169.66649855021387,242.8565772424917,0.23076923076923078
